,Unnamed: 0.1,Unnamed: 0,b1,b2,theta_upper,theta_lower,fc,fd,pi,CC,DD,CD,DC,P1,P2,Mixed
320303,320303,320303.0,0.1,0.95,0.85,0.1,1,1,0.35,False,False,True,True,0.004,0.004,True
320317,320317,320317.0,0.1,0.95,0.7,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
320318,320318,320318.0,0.1,0.95,0.75,0.15,1,1,0.35,False,False,True,True,0.023,0.023,True
320332,320332,320332.0,0.1,0.95,0.65,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
320333,320333,320333.0,0.1,0.95,0.7,0.2,1,1,0.35,False,False,True,True,0.017,0.017,True
320346,320346,320346.0,0.1,0.95,0.6,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
320347,320347,320347.0,0.1,0.95,0.65,0.25,1,1,0.35,False,False,True,True,0.007,0.007,True
320359,320359,320359.0,0.1,0.95,0.55,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
320371,320371,320371.0,0.1,0.95,0.5,0.35,1,1,0.35,False,False,True,True,0.051,0.051,True
320382,320382,320382.0,0.1,0.95,0.45,0.4,1,1,0.35,False,False,True,True,0.052,0.052,True
320478,320478,320478.0,0.1,1.0,0.95,0.0,1,1,0.35,False,False,True,True,0.066,0.066,True
320479,320479,320479.0,0.1,1.0,1.0,0.0,1,1,0.35,False,False,True,True,0.08,0.08,True
320495,320495,320495.0,0.1,1.0,0.85,0.05,1,1,0.35,False,False,True,True,0.05,0.05,True
320512,320512,320512.0,0.1,1.0,0.8,0.1,1,1,0.35,False,False,True,True,0.05,0.05,True
320513,320513,320513.0,0.1,1.0,0.85,0.1,1,1,0.35,False,False,True,True,0.029,0.029,True
320514,320514,320514.0,0.1,1.0,0.9,0.1,1,1,0.35,False,False,True,True,0.007,0.007,True
320528,320528,320528.0,0.1,1.0,0.75,0.15,1,1,0.35,False,False,True,True,0.05,0.05,True
320529,320529,320529.0,0.1,1.0,0.8,0.15,1,1,0.35,False,False,True,True,0.025,0.025,True
320543,320543,320543.0,0.1,1.0,0.7,0.2,1,1,0.35,False,False,True,True,0.05,0.05,True
320544,320544,320544.0,0.1,1.0,0.75,0.2,1,1,0.35,False,False,True,True,0.02,0.02,True
320557,320557,320557.0,0.1,1.0,0.65,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
320558,320558,320558.0,0.1,1.0,0.7,0.25,1,1,0.35,False,False,True,True,0.012,0.012,True
320570,320570,320570.0,0.1,1.0,0.6,0.3,1,1,0.35,False,False,True,True,0.05,0.05,True
320582,320582,320582.0,0.1,1.0,0.55,0.35,1,1,0.35,False,False,True,True,0.05,0.05,True
320593,320593,320593.0,0.1,1.0,0.5,0.4,1,1,0.35,False,False,True,True,0.05,0.05,True
322789,322789,322789.0,0.15,0.7,1.0,0.0,1,1,0.35,False,False,True,True,0.005,0.005,True
322998,322998,322998.0,0.15,0.75,0.95,0.0,1,1,0.35,False,False,True,True,0.002,0.002,True
322999,322999,322999.0,0.15,0.75,1.0,0.0,1,1,0.35,False,False,True,True,0.02,0.02,True
323071,323071,323071.0,0.15,0.75,0.35,0.25,1,1,0.35,False,False,True,True,0.05,0.05,True
